date,H2,CO,CO2,CH4,C2H4,C2H6,C2H2,total
2016/6/2,1.82,6.06,91.11,0.34,0.4,0.26,0.21,1.21
2016/6/6,2.86,12.09,189.27,0.47,0.55,0.11,0.47,1.56
2016/6/10,2.86,12.09,189.27,0.47,0.55,0.11,0.47,1.56
2016/6/12,1.11,14.88,232.49,0.56,0.62,0.2,0.51,1.89
2016/6/14,2,16.05,245.03,0.77,0.74,0.29,0.6,2.4
2016/6/16,1.35,17.38,233.5,0.71,0.78,0.15,0.63,2.27
2016/6/18,3.41,18.46,284.62,0.73,0.83,0.18,0.73,2.47
2016/6/20,2.26,19,303.64,0.76,0.87,0.13,0.75,2.51
2016/6/23,1.51,21.91,352.23,0.93,1.13,0.64,0.88,3.58
2016/6/24,2.57,21.32,341.82,0.88,1.01,0.27,0.86,3.02
2016/6/27,2.7,24.97,338.03,0.92,1.06,0.2,0.92,3.1
2016/6/29,2.14,24.6,381.36,0.97,1.17,0.34,0.95,3.43
2016/6/30,1.72,26,384.18,1.09,1.12,0.54,0.97,3.72
2016/7/2,3.09,24.93,406.95,1.04,1.17,0.37,0.99,3.51
2016/7/4,1.65,24.45,395.76,1.08,1.16,0.2,0.99,3.43
2016/7/6,2.11,26.25,459.24,1.11,1.22,0.19,1.07,3.59
2016/7/8,1.85,30.86,443.78,1.13,1.33,0.4,1.1,3.96
2016/7/12,2.18,31.94,423.8,1.22,1.35,0.31,1.12,4
2016/7/14,2.01,34.01,443.53,1.23,1.5,0.56,1.21,4.5
2016/7/17,2.57,35.3,478.73,1.29,1.45,0.22,1.2,4.16
2016/7/18,2.22,33.47,455.11,1.3,1.48,0.25,1.24,4.27
2016/7/20,2.03,34.75,466.25,1.33,1.52,0.31,1.23,4.39
2016/7/25,2.34,41.56,511,1.46,1.45,0.29,1.19,4.39
2016/8/1,2.88,42.41,505.99,1.52,1.66,0.26,1.33,4.77
2016/8/8,2.92,44.19,531.12,1.65,1.77,0.32,1.38,5.12
2016/8/15,3.43,46.4,592.72,1.78,1.93,0.28,1.51,5.5
2016/8/22,4.14,43.79,442.16,1.8,1.84,0.4,1.37,5.41
2016/8/29,3.98,55.13,644.7,2,2.11,0.39,1.56,6.06
2016/9/5,4.31,54.85,600.33,2.13,2.19,0.8,1.58,6.7
2016/9/19,3.89,62.37,635.35,2.3,2.33,0.97,1.57,7.17
2016/9/26,5.2,56.97,593.91,2.22,2.31,0.28,1.56,6.37
2016/10/3,4.88,62.16,649.9,2.59,2.63,0.49,1.63,7.34
2016/10/10,4.27,57.84,580.21,2.41,2.58,0.52,1.62,7.13
2016/10/16,4.59,66.86,630.18,2.44,2.76,0.35,1.72,7.27
2016/10/24,4.44,81.07,659.8,2.47,2.91,0.55,1.74,7.67
2016/10/31,4.32,81.99,720.89,2.55,3.01,0.52,1.75,7.83
2016/11/7,3.76,70.85,601.56,2.69,3.04,0.56,1.72,8.01
2016/11/14,4.92,67.22,563.33,2.78,3.14,0.45,1.7,8.07
2016/11/21,4.36,69.36,576.97,2.76,3.24,0.51,1.82,8.33
2016/11/28,9.81,69.68,544.99,2.8,3.36,0.51,1.83,8.5
2016/12/5,11.54,70.58,536.02,2.88,3.32,0.41,1.75,8.36
2016/12/12,4.02,74.75,562.93,3.18,3.58,0.48,1.83,9.07
2016/12/19,10.95,71.35,538.55,3.48,3.95,0.51,1.9,9.84
2016/12/26,4.21,66.35,502.14,3.14,3.42,0.49,1.81,8.86
2017/1/2,10.33,69.17,486.45,3.05,3.79,0.53,1.81,9.18
2017/1/9,4.27,67.22,485.03,3.31,3.83,0.55,1.83,9.52
2017/1/16,4.35,74.05,490.61,3.37,3.9,0.52,1.84,9.63
2017/1/23,3.63,70.05,505.86,3.38,3.91,0.48,1.83,9.6
2017/1/30,5.06,74.74,478.15,3.38,3.79,0.54,1.77,9.48
2017/2/6,3.98,72.16,496.45,3.44,3.98,0.56,1.82,9.8
2017/2/13,12.35,76.03,483.96,3.32,4.24,0.52,1.92,10
2017/2/20,11.67,76.01,475.87,3.32,4.37,0.58,1.98,10.25
2017/2/27,10.95,72.93,470.6,3.33,4.21,0.5,1.93,9.97
2017/3/6,11.49,63.95,462.09,3.54,4.39,0.63,2.02,10.58
2017/3/13,13.12,76.73,522.01,4.08,4.61,0.59,1.98,11.26
2017/3/20,16.61,72.25,498.29,4.01,4.73,0.62,2.1,11.46
2017/3/27,14.38,63.53,485.81,3.55,4.59,0.66,2.07,10.87
2017/4/3,14.95,83.36,557.75,4.09,4.96,0.7,2.26,12.01
2017/4/10,17.76,82.8,541.83,4.26,4.95,0.73,2.21,12.15
2017/4/17,17.24,86.88,567.87,4.03,4.79,0.74,2.22,11.78
2017/5/1,15.65,90.32,571.23,4.05,4.73,0.82,2.16,11.76
2017/5/8,18.55,82.23,568.93,4.22,4.83,0.64,2.21,11.9
2017/5/14,16.67,94.53,553.25,4.16,4.8,0.66,2.24,11.86
2017/5/22,12.04,103.13,620.64,3.95,4.66,0.61,2.18,11.4
2017/5/29,4.3,98.03,607.2,4.14,4.79,0.74,2.22,11.89
2017/6/6,11.98,124.31,694.96,4.78,5.13,0.68,2.34,12.93
2017/6/11,5.65,131.41,699.67,4.41,5.1,0.75,2.3,12.56
2017/6/19,5.47,110.57,614.6,4.12,4.87,0.71,2.22,11.92
2017/6/26,5.51,116.32,652.17,4.13,4.89,0.72,2.25,11.99
2017/7/3,5.88,107.16,665.19,4.39,4.96,0.75,2.23,12.33
2017/7/10,4.65,95.7,655.29,4.43,4.88,1.21,2.22,12.74
2017/7/17,3.34,78.08,679.75,4.07,4.88,0,2.14,11.09
2017/7/24,5.41,108.62,732.47,4.42,5.27,1.02,2.31,13.02
2017/7/31,5.71,123.4,758.91,4.77,5.42,1.33,2.39,13.91
2017/8/7,5.57,93.91,714.45,3.89,5.03,0.66,2.25,11.83
2017/8/21,5.65,135.53,886.27,5.43,6.36,1.21,2.53,15.53
2017/8/28,5.93,138.37,921.14,5.93,6.68,1.07,2.57,16.25
2017/9/11,5.64,128.01,876.57,5.81,6.57,1.11,2.54,16.03
2017/10/9,6.14,143.72,809.42,5.84,6.67,1.21,2.53,16.25
2017/10/23,13.59,149.68,882.56,5.82,7.04,1.13,2.57,16.56
2017/11/13,13.97,129.33,733.54,6.26,7.43,1.38,2.51,17.58
2017/11/20,15.32,148.11,780.5,6.16,7.65,1.42,2.51,17.74
2017/12/4,14.63,142.44,590.39,5.88,6.76,1.14,2.36,16.14
2017/12/18,14.86,148.67,963.45,5.9,6.78,1.13,2.42,16.23
2018/1/9,16.6,140.14,644.49,6.43,7.73,1.34,2.48,17.98
2018/1/22,17.16,144.52,627.02,6.7,7.73,1.23,2.51,18.17
2018/2/5,17.28,143.86,621.83,6.72,7.98,1.41,2.46,18.57
2018/2/19,17.58,151.26,668.16,5.66,7.45,1.12,2.48,16.71
2018/3/5,18.33,143.45,639.87,6.49,8.01,1.36,2.59,18.45
2018/3/19,19.29,134.13,632.79,7.4,8.28,1.77,2.59,20.04
2018/4/9,20.34,159,726.9,7.01,8.6,1.57,2.83,20.01
2018/4/23,20.86,131.33,792.42,7.32,8.93,1.47,2.81,20.53
2018/5/16,21.21,168.56,851.08,7.85,9.72,1.74,3.17,22.48
2018/6/2,24.38,192.8,905.13,8.06,9.47,1.83,3.26,22.62
2018/6/17,23.58,198.6,1035.2,7.95,9.68,1.89,3.32,22.84
2018/7/2,20.43,179.84,938.42,7.96,9.73,1.67,3.27,22.63
2018/7/16,16.32,166.96,999.37,7.92,10.14,1.69,3.24,22.99
2018/8/2,19.85,205.65,1112.46,8.46,10.26,2.05,3.12,23.89
2018/8/16,22.45,209.58,1087.16,8.4,10.08,2.03,3.18,23.69
2018/9/20,21.47,218.25,1036.06,9.02,11.06,2.15,3.22,25.45
2018/10/2,28.96,254.6,967.01,9.38,10.64,1.82,3.08,24.92
2018/10/22,28.96,254.6,967.01,9.38,10.64,1.82,3.08,24.92
2018/11/7,21.44,215.24,936.34,8.93,10.83,1.98,2.96,24.7
2018/12/2,21.34,218.45,907.73,12.12,9.75,1.93,3.03,26.83
2019/1/2,2.42,220.22,801.01,8.9,11.07,1.66,2.84,24.47
2019/1/17,2.37,219.73,775.6,8.46,10.69,1.72,2.6,23.47
2019/2/2,2.45,221.97,781.57,9.52,12.14,2.35,2.86,26.87
2019/2/15,2.18,192.61,671.53,8.67,10.9,1.8,2.69,24.16
2019/3/2,1.96,209.55,738.18,9.01,11.27,2.01,2.52,24.81
2019/3/16,2.24,221.78,778.63,9.36,12.31,2.32,2.9,26.89
2019/4/3,1.94,220.33,837.05,9.77,12.38,2.28,3.16,27.59
2019/4/16,1.66,188.37,835.28,8.79,11.68,2.35,2.83,25.65
2019/5/2,1.71,215.59,854.95,9.54,12.41,2.37,3.04,27.36
2019/5/16,1.84,213.51,903.21,9.78,12.84,2.55,3.31,28.48
2019/5/20,1.65,210.19,894.59,9.78,12.66,2.1,3.16,27.7
2019/5/27,1.72,208.47,927.59,9.66,12.47,2.24,3.25,27.62
2019/6/2,2.29,294.29,1176.34,11.53,14.39,2.44,3.35,31.71
2019/6/10,2.13,239.31,1042.51,10.75,13.69,2.37,3.5,30.31
2019/6/17,2.53,243.4,1180.5,11.14,14.83,2.57,3.56,32.1
2019/6/24,1.98,237.68,1090.05,10.22,13.26,2.11,3.47,29.06
2019/7/8,1.52,242.1,1118.17,10.43,13.41,2.39,3.39,29.62
2019/7/17,1.95,253.14,1096.56,10.66,13.22,1.94,3.57,29.39
2019/7/22,1.98,247.42,1230.25,10.59,13.95,2.33,3.34,30.21
2019/7/29,2.19,206.63,1182.96,10.54,14.08,2.16,3.01,29.79
2019/8/2,2.16,276.65,1254.3,10.68,14.15,2.22,3.63,30.68
2019/8/12,3.59,244.42,1219.42,11.23,14.34,2.34,3.56,31.47
2019/8/26,1.86,272.06,1207.04,10.78,13.83,2.38,3.39,30.38
2019/9/2,1.95,273.65,1303.62,10.58,12.53,2.62,3.43,29.16
2019/9/9,1.8,281.32,1313.21,11.25,14.43,2.63,3.52,31.83
2019/9/16,1.85,277.98,1202.56,11.38,14.68,2.65,2.39,32.1
2019/9/30,2.05,286.25,1178.02,11.28,14.52,3.56,3.6,32.96
2019/10/7,2.18,313.66,1301.05,13.23,16.51,2.79,3.41,35.94
2019/10/14,1.98,274.67,1127.16,11.45,14.44,2.46,3.18,31.53
2019/10/21,2.2,276.49,1109.66,11.49,14.77,2.73,3.48,32.47
2019/10/21,1.89,277.6,1087.99,11.43,14.75,2.93,3.15,32.26
2019/11/4,2.7,334.19,1157.35,12.33,14.66,2.44,3.1,32.53
2019/11/11,2.56,317.91,1093.24,11.69,14.75,2.29,3.25,31.98
2019/12/19,20.19,260.74,917.35,10.78,13.97,2.06,2.89,29.7
2020/1/2,4.01,297.11,957.27,14.18,15.46,2.62,2.87,35.13
2020/1/22,22.13,231.83,749.03,12.01,15.05,2.48,2.94,32.48
2020/2/2,20.56,278.38,906.16,11.51,14.92,2.33,2.9,31.66
2020/2/16,18.56,227.37,812.74,9.92,13.52,2.44,2.89,28.77
2020/3/2,30.22,269.5,873.58,11.54,14.81,2.51,2.94,31.8
2020/3/16,26,226.35,794.01,9.26,13.55,2.69,3.05,28.55
2020/4/2,21.6,271.77,981.11,12.08,16.05,2.62,3.28,34.03
2020/4/16,22.3,268.6,968.3,11.72,15.96,2.92,3.28,33.88
2020/4/20,1.86,285.95,1029.79,12.35,16.01,2.41,3.46,34.23
2020/4/21,2.06,236.97,1101.69,11.8,15.43,2.31,3.41,32.95
2020/5/2,2.4,349.3,1293.5,14.32,19.15,3.99,4.35,41.81
2020/5/23,29.14,261.22,1016.75,10.88,14.49,2.2,3.27,30.84
2020/5/27,26.13,214.54,919.58,10.01,13.53,2.01,3.25,28.8
2020/5/30,28.91,272.03,1067.36,11.43,15.07,2.5,3.5,32.5
2020/6/11,32.68,288.74,1144.45,12.45,16.02,3.21,3.67,35.35
2020/6/14,27.49,338.69,1353.33,13.37,17.32,2.62,4.06,37.37
2020/6/18,37.25,323.28,1170.78,12.49,15.59,2.42,3.61,34.11
2020/7/2,25.31,293.16,1309.47,13.71,17.44,2.97,3.98,38.1
2020/7/16,30.63,314.93,1283.59,13.22,17.43,2.79,4.03,37.47
2020/8/2,29.16,305.74,1293.63,12.85,16.6,2.8,3.85,36.1
2020/8/18,32.35,318.18,1297.59,12.97,16.61,2.99,3.86,36.43
2020/9/2,31.22,301.56,1271.68,13.41,16.54,2.81,3.76,36.52
2020/9/24,20.13,288.05,1203.5,12.56,16.32,2.77,3.63,35.28
2020/10/2,1.67,308.36,1358.29,13.41,18.48,3.54,4.01,39.44
2020/10/16,29.16,305.74,1293.63,9.9,16.6,2.8,3.8,33.1
2020/11/16,51.62,405.49,1321.2,16.21,20.36,3.09,4.13,43.79
2020/12/2,20.12,296.53,1258.5,12.07,18.19,2.88,3.44,36.58
2020/12/16,33.62,340.7,1069.49,14.11,18.26,2.72,3.41,38.5
2021/1/2,32.19,362.07,1125.11,16.17,19.68,2.88,3.41,42.14
2021/2/3,32.34,335.68,1063.5,14.82,18.96,2.99,3.44,40.21
2021/2/16,26.18,299.23,1004.78,17.55,18.83,2.91,3.43,42.72
2021/3/3,33.74,354.47,1048.19,15.22,18.62,2.95,3.41,40.2
2021/3/16,31.88,312.51,1024.05,14.45,18.53,2.98,3.42,39.38
2021/4/2,33.52,383.35,1113.22,16.32,18.5,2.86,3.48,41.16
2021/4/16,32.18,341.9,1136.07,15.01,19.11,3.28,3.75,41.15
